ride_id,started_at,ended_at,start_station,end_station,user_type
R104100,2026-07-12 13:20:00,2026-07-12 13:35:01,Midtown MARTA,Piedmont Park,member
R101212,2026-06-12 07:37:00,2026-06-12 07:45:01,Midtown MARTA,ponce city market,member
R102444,2026-06-24 16:34:00,2026-06-24 16:41:50,west end,Midtown MARTA,member
R104038,2026-07-11 16:23:00,2026-07-11 16:52:57,piedmont park,Midtown MARTA,casual
R105901,2026-07-30 21:48:00,2026-07-30 22:01:01,Ponce City Market,West End,member
R105133,21-Jul-2026 18:38,2026-07-21 18:44:19,Ponce City Market,,member
R105886,2026-07-29 12:59:00,2026-07-29 13:09:20,Centennial Olympic Park,Little Five Points,member
R101214,2026-06-12 16:59:00,2026-06-12 17:08:02,Ponce City Market,  Midtown MARTA ,member
R102419,2026-06-24 09:32:00,2026-06-24 10:06:48,Georgia State University,Centennial Olympic Park,casual
R104830,2026-07-19 14:03:00,07/19/2026 14:10,Atlantic Station,Centennial Olympic Park,member
R105091,2026-07-21 16:07:00,21-Jul-2026 16:14,  Georgia State University ,West End,member
R101559,2026-06-16 18:56:00,2026-06-16 19:00:52,Midtown MARTA,,member
R104618,2026-07-17 18:44:00,2026-07-17 19:25:52,Krog Street Market,,casual
R101085,2026-06-11 09:38:00,2026-06-11 10:10:03,Centennial Olympic Park,georgia state university,casual
R104608,2026-07-17 02:47:00,07/17/2026 02:55,PONCE CITY MARKET,West End,member
R101695,2026-06-17 17:32:00,06/17/2026 17:46,Ponce City Market,Little Five Points,member
R102179,2026-06-22 12:39:00,2026-06-22 12:40:00,MIDTOWN MARTA,Centennial Olympic Park,casual
R100207,2026-06-02 18:34:00,02-Jun-2026 18:38,Midtown MARTA,Ponce City Market,member
R102840,28-Jun-2026 13:35,2026-06-28 13:54:49,Piedmont Park,Midtown MARTA,casual
R105240,07/23/2026 15:58,2026-07-23 16:04:59,Centennial Olympic Park,Georgia State University,member
R105202,2026-07-22 07:45:00,2026-07-22 08:02:14,Piedmont Park,krog street market,member
R100689,2026-06-07 17:11:00,06/07/2026 17:37,Centennial Olympic Park,Ponce City Market,casual
R102801,06/28/2026 12:02,28-Jun-2026 12:19,  Ponce City Market ,MIDTOWN MARTA,casual
R105066,2026-07-21 18:57:00,2026-07-21 19:05:52,Ponce City Market,Atlantic Station,member
R100849,09-Jun-2026 12:51,06/09/2026 12:58,Atlantic Station,Midtown MARTA,member
R101662,2026-06-17 15:32:00,2026-06-17 15:45:57,Midtown MARTA,  Ponce City Market ,member
R103196,2026-07-02 18:55:00,2026-07-02 18:56:00,  Atlantic Station ,Centennial Olympic Park,member
R103102,2026-07-02 09:19:00,2026-07-02 09:24:30,Atlantic Station,GEORGIA STATE UNIVERSITY,member
R101624,06/17/2026 08:58,2026-06-17 09:25:28,Ponce City Market,Georgia State University,casual
R102947,2026-06-29 18:29:00,2026-06-29 18:55:52,Krog Street Market,Little Five Points,casual
R101413,06/14/2026 21:29,06/14/2026 21:35,Ponce City Market,Midtown MARTA,casual
R101157,2026-06-12 07:18:00,2026-06-12 07:31:28,Centennial Olympic Park,Midtown MARTA,member
R103561,2026-07-06 23:19:00,2026-07-06 23:28:29,Centennial Olympic Park,Grant Park,member
R101038,2026-06-11 17:57:00,2026-06-11 18:09:23,Centennial Olympic Pk,Midtown MARTA,member
R101871,19-Jun-2026 17:41,19-Jun-2026 17:45,PONCE CITY MARKET,  Centennial Olympic Park ,member
R105562,2026-07-26 14:31:00,2026-07-26 14:39:17,midtown marta,Georgia State University,member
R104894,2026-07-19 11:14:00,2026-07-19 11:26:01,Ponce City Market,CENTENNIAL OLYMPIC PARK,member
R101640,2026-06-17 07:42:00,2026-06-17 07:42:00,Midtown MARTA,Midtown MARTA,casual
R102285,2026-06-23 00:56:00,06/23/2026 01:04,Georgia State University,Ponce City Market,member
R105640,2026-07-27 08:26:00,2026-07-27 08:39:47,Georgia State University,midtown marta,member
R102091,06/21/2026 07:26,2026-06-21 07:48:01,Ponce City Market,Midtown MARTA,casual
R101572,06/16/2026 14:55,2026-06-16 15:21:15,Centennial Olympic Park,Midtown MARTA,casual
R102630,06/26/2026 04:30,06/26/2026 04:33,PIEDMONT PARK,Atlantic Station,casual
R103409,2026-07-05 08:53:00,2026-07-19 08:53:00,Ponce City Market,Midtown MARTA,casual
R100748,2026-06-08 15:31:00,08-Jun-2026 15:38,Ponce City Market,Atlantic Station,member
R100885,2026-06-09 13:31:00,2026-06-09 13:44:43,Georgia State University,Krog Street Market,member
R104397,07/15/2026 10:48,07/15/2026 10:57,Atlantic Station,georgia state university,member
R104301,2026-07-14 08:52:00,2026-07-14 09:14:41,Midtown MARTA,Ponce City Market,casual
R102713,2026-06-27 06:55:00,2026-06-27 07:12:30,Krog Street Market,Ponce City Market,member
R105727,2026-07-27 18:56:00,2026-07-27 19:08:51,Georgia State University,Atlantic Station,member
R100159,2026-06-02 00:32:00,2026-06-02 00:47:29,Ponce City Market,Midtown MARTA,member
R100455,2026-06-05 06:41:00,2026-06-05 06:46:29,Georgia State University,Midtown MARTA,member
R101987,2026-06-20 16:13:00,20-Jun-2026 16:29,ponce city market,Piedmont Park,member
R100806,06/09/2026 07:43,06/09/2026 07:58,Krog Street Market,CENTENNIAL OLYMPIC PARK,member
R101928,06/19/2026 05:16,2026-06-19 05:26:16,WEST END,Centennial Olympic Park,member
R100479,06/05/2026 18:21,2026-06-05 18:33:25,Atlantic Station,Midtown MARTA,member
R100812,2026-06-09 12:36:00,2026-06-09 12:46:17,Centennial Olympic Park,MIDTOWN MARTA,member
R103305,2026-07-04 16:20:00,2026-07-04 16:31:01,Georgia State University,Midtown MARTA,member
R100648,2026-06-07 14:07:00,2026-06-07 14:18:41,Ponce City Market,atlantic station,casual
R104691,07/17/2026 19:37,07/17/2026 19:37,  Georgia State University ,  Georgia State University ,member
R101066,2026-06-11 08:31:00,2026-06-11 08:40:26,PONCE CITY MARKET,Georgia State University,member
R103422,2026-07-05 15:50:00,2026-07-05 16:00:37,Krog Street Market,  Midtown MARTA ,member
R101795,06/18/2026 18:41,18-Jun-2026 18:54,Midtown MARTA,Atlantic Station,member
R105251,2026-07-23 18:18:00,2026-07-23 18:31:20,ponce city market,Centennial Olympic Park,member
R104149,2026-07-12 12:31:00,2026-07-12 12:49:19,Ponce City Market,midtown marta,casual
R104578,2026-07-17 10:30:00,2026-07-17 10:46:23,Ponce City Market,Georgia State University,member
R101055,2026-06-11 18:04:00,2026-06-11 18:11:08,Georgia State University,Ponce City Market,member
R102544,2026-06-25 20:36:00,06/25/2026 20:59,Piedmont Park,Ponce City Market,casual
