year,total_enrollment,grad_rate_overall,grad_rate_black,grad_rate_hispanic,grad_rate_pell
2010,31200,48.0,44.0,45.0,43.0
2011,32000,49.0,45.5,46.5,44.0
2012,32100,51.0,47.5,48.5,46.0
2013,32400,52.0,49.0,50.0,48.0
2014,32300,53.0,50.5,51.5,50.0
2015,32000,54.0,52.0,53.0,51.5
2016,51100,54.0,53.0,54.0,52.5
2017,53000,55.0,54.0,55.0,54.0
2018,53200,55.0,55.0,56.0,55.0
2019,52400,56.0,56.0,57.0,55.5
2020,54000,55.0,55.0,56.0,55.0
2021,53100,56.0,56.0,56.5,55.5
2022,52300,54.5,55.0,55.5,54.5
2023,52000,55.0,55.5,56.0,55.0
2024,51400,56.0,56.5,57.0,56.0
