country,region,population_millions,gdp_billions_usd
China,Asia,1411,17800
India,Asia,1429,3550
United States,North America,335,27400
Indonesia,Asia,278,1420
Pakistan,Asia,240,340
Nigeria,Africa,224,390
Brazil,South America,216,2170
Bangladesh,Asia,173,440
Russia,Europe,144,2020
Mexico,North America,128,1790
Japan,Asia,125,4210
Ethiopia,Africa,127,160
Philippines,Asia,117,440
Egypt,Africa,113,400
Vietnam,Asia,99,430
DR Congo,Africa,102,65
Turkey,Asia,85,1110
Iran,Asia,89,400
Germany,Europe,84,4460
Thailand,Asia,72,515
United Kingdom,Europe,68,3340
France,Europe,68,3050
Italy,Europe,59,2250
South Africa,Africa,60,380
Tanzania,Africa,67,79
Myanmar,Asia,54,65
Kenya,Africa,55,110
South Korea,Asia,52,1710
Colombia,South America,52,360
Spain,Europe,48,1580
Argentina,South America,46,640
Algeria,Africa,46,240
Sudan,Africa,48,110
Ukraine,Europe,37,180
Iraq,Asia,45,250
Afghanistan,Asia,42,14
Poland,Europe,41,810
Canada,North America,39,2140
Morocco,Africa,38,140
Saudi Arabia,Asia,37,1070
Uzbekistan,Asia,35,90
Peru,South America,34,270
Malaysia,Asia,34,430
Angola,Africa,36,85
Ghana,Africa,34,76
Australia,Oceania,26,1720
Netherlands,Europe,18,1010
Chile,South America,20,340
Switzerland,Europe,9,885
Norway,Europe,5.5,485
Singapore,Asia,6,500
Ireland,Europe,5.3,550
New Zealand,Oceania,5.2,250
United Arab Emirates,Asia,9.5,500
