month,channel,visitors,leads,qualified,opportunity,closed_won,revenue_usd
2026-01,Paid Search,18400,1288,412,151,38,190000
2026-01,Organic,12200,976,371,141,42,231000
2026-01,Referral,3100,403,205,94,34,204000
2026-01,Outbound,5400,270,89,32,7,42000
2026-02,Paid Search,19100,1337,414,149,37,181300
2026-02,Organic,12900,1045,398,151,45,247500
2026-02,Referral,3300,429,219,101,37,222000
2026-02,Outbound,5600,280,92,33,7,41300
2026-03,Paid Search,21000,1470,455,164,41,201900
2026-03,Organic,13600,1116,424,162,48,264000
2026-03,Referral,3500,455,232,107,39,234000
2026-03,Outbound,5900,295,97,35,8,47200
2026-04,Paid Search,20200,1414,438,158,39,192000
2026-04,Organic,14100,1170,445,169,50,275000
2026-04,Referral,3600,468,239,110,40,240000
2026-04,Outbound,6100,305,101,36,8,48000
2026-05,Paid Search,22400,1568,486,175,44,215600
2026-05,Organic,14800,1228,467,178,53,291500
2026-05,Referral,3800,494,252,116,43,258000
2026-05,Outbound,6300,315,104,37,8,47600
2026-06,Paid Search,23100,1617,501,180,45,220500
2026-06,Organic,15400,1278,486,185,55,302500
2026-06,Referral,4000,520,265,122,45,270000
2026-06,Outbound,6500,325,107,39,9,53100
